Software Name,File Size (MB),File Type,SHA-256 Hash,Sections,Digital Signature,VirusTotal Score,Network Activity,Permissions Requested,Fake?
AdobeInstaller_2,21.91,application/vnd.microsoft.portable-executable,94864d5fefd4efe8217141bcdc46de57f68a8003316d49a01b82b8a12885db25,8,1,25,1,1,0
WinUpdatePatch_2,29.42,exe,a721bc3429dc005e57c8924447d047bb5845dcc717e59a0c6c60caa37f3c1e52,38,1,28,0,0,0
MicrosoftWord_2,3.38,application/x-dosexec,194083883ddf86a260c6ebcddc212df489c1f5a5c738b4b3573d5632d48bf63b,22,0,0,0,0,0
ExcelUpdater_2,43.73,application/x-dosexec,42d139f3dae3d17c739237a3ca36392bcdc642f0b2b6b920e5a9af44b4e5721c,29,1,23,1,0,0
VisualStudioSetup_2,46.32,exe,5c888f6c3f306656b719263398cc256229ea2fc8520fa0e6272f146484874b06,11,0,12,0,0,0
EdgeUpdate_2,37.4,application/x-dosexec,03e88059347908582be4d7e24c07704c2c2d9b957c57290aa3fcdf8f44b1de42,4,0,37,0,0,0
DefenderScan_2,28.95,application/x-dosexec,a01fe72ef998171f5c79a5a9eefd6e4a5fc03eb66d81cca73c8f9086e7fc1aa7,40,0,30,1,0,0
OutlookSync_2,6.63,application/x-executable,f4445ab94697740180ee780bbea39acb8df931f8932a6a9253608bb5b9dea212,5,0,12,0,1,0
OneDriveClient_2,30.25,application/x-executable,98cae32894b77ffde66feb27d70e28bd92ae5dfff1dec7391e61beb0f3fb61c5,14,1,13,0,1,0
SkypeInstaller_2,4.62,application/vnd.microsoft.portable-executable,e7bfd58bb287931797709a1d9c68227f3b370aba9b70e9ce7cb9a98f87d6f2c6,18,1,33,1,0,0
PowerPointInstaller_2,8.09,application/vnd.microsoft.portable-executable,56bbddcd5dc61a8a01aba859a635600907fdd97844d8352af64d04e42dbb3ba2,36,0,0,1,1,0
TeamsUpdate_2,27.28,application/x-executable,c1dbaaabf5bff1c3e4d7d87cd41fedd5bb31b84bfde3c7aaeaf20c7c77239e35,38,0,1,0,0,0
AccessRepairTool_2,15.42,application/x-dosexec,f417641606001f743473ef14d68b917435ddc7550f5a64d31c1d8ca385203a97,23,0,18,1,0,0
Office365Setup_2,48.69,exe,be28f32238baf19999d27e26cd3f3d0438becbb628b3e5b29bd39b9aa7f2d1ed,16,1,31,0,1,0
WindowsBackup_2,36.83,application/x-executable,9cd8815774240944a6aaf52d2030c3af2b8efc5775e5b1507d3b52870613c5d7,27,0,22,1,0,0
AdobeInstaller_3,43.61,application/vnd.microsoft.portable-executable,59e6e6a057b577d14d808bf99dd9bb3f652f64fec3fa38b0de47ff155d22576f,15,0,34,0,1,0
WinUpdatePatch_3,32.08,application/vnd.microsoft.portable-executable,3b10dcd000085320581be0fcf9ae6b7f9c9ddcae138144d6ff0faec751a45037,35,1,35,0,1,0
MicrosoftWord_3,29.03,application/x-executable,247e89c2413fd940c94e40ee946492fbadd631d0af9e30f6759cb1b00ae77d49,3,1,3,0,0,0
ExcelUpdater_3,0.09,exe,7fa9b3a72de00ce7d14e4e345ea11cfd6ed0c71a2e2ff5163aae3d7bfb5aeefb,24,0,24,1,1,0
VisualStudioSetup_3,35.99,application/x-executable,a3f675efaf33c2d0069fa8ace81f56e6b7999569eec64794f282e1bf0857e698,33,1,8,1,0,0
EdgeUpdate_3,15.2,exe,04d61a3927bd5a9a71e71a9e86263e1d443b58de011c2435d2eb9ebb92f0f15a,28,1,22,1,0,0
DefenderScan_3,33.78,application/vnd.microsoft.portable-executable,e8df20faf9bfbc38305c800dbb7b06a81db865438dc56d310a581f944379e0be,11,1,41,1,1,0
OutlookSync_3,33.64,exe,320994859e2d3437704f49ab3ab35bbb1425d414efe829ad3e6c0d8866b0ecf3,13,0,36,1,0,0
OneDriveClient_3,30.57,application/x-dosexec,90d1fffdedfca71a3f4928f44584faed0fe1534f7a45d5cf7c9a5337a3829824,30,0,3,0,1,0
SkypeInstaller_3,12.21,application/x-dosexec,3746ab43659feea21a5a6dc1e95b31c583411eadc0711a701bc768b95c64c12f,7,1,24,1,1,0
PowerPointInstaller_3,27.87,application/x-dosexec,530d36b07178fc8bf7559d6b8410f43a1b0f99b262b546079b6ceb615aebcc1c,30,1,28,0,0,0
TeamsUpdate_3,13.59,application/x-executable,dd77dd93d1d518a6ee7e6939ffc1d92ef2d617b7b3cc0adc78648828a8ed4987,35,1,56,0,0,0
AccessRepairTool_3,34.7,exe,8a194433fb386a459ef579ae98c6ee9fc4a57dfd4baf397aae4e500d3d97d9ab,5,0,17,0,1,0
Office365Setup_3,47.14,application/x-executable,3967e347a9646d094c91af159c98c50436f746f5f4c01f65600082bc64f0b656,25,1,2,1,0,0
WindowsBackup_3,43.34,exe,f481ffe84431ede734504c98d5cc91896dd6448d970d9fc68c7aeb8ea8cdfb39,4,1,3,0,0,0
AdobeInstaller_4,37.45,application/x-dosexec,a0891941691bf43abb796bfe48ae9cae8d1ef1e8efe0191a342334ec5075877f,23,1,32,0,0,0
WinUpdatePatch_4,9.98,application/x-dosexec,fad0e1e12d3b51b0c6d8d385c6fe12a067e6cd061b5a233c4447b0d45fa88437,40,0,8,0,0,0
MicrosoftWord_4,28.2,exe,d0ed66da88681a89e07afe65ae50e2410c8db1f9bbb42026a353b7581e12e8d4,30,1,30,0,0,0
ExcelUpdater_4,48.24,application/x-dosexec,3aea10acfad8d7865d702c3d5faf46ce4967f880b0b7cf75288f00fdaf0bfaed,38,0,47,0,0,0
VisualStudioSetup_4,3.81,exe,f9c0fbb8aa2e00ba50b4bf067247d212e3d0ba301109775f45903b3579bae75f,7,1,39,1,0,0
EdgeUpdate_4,33.08,application/x-dosexec,726e58a1a51768f7f41bde6f7d77fb5f32e00034bd0146c8b9d55ab45fc7ed85,33,1,15,0,1,0
DefenderScan_4,5.29,application/x-executable,0b9edb9d660124256d63f0d14806b2848f5f1340cc5bd389e3637d4235480c46,30,1,43,0,1,0
OutlookSync_4,37.53,application/vnd.microsoft.portable-executable,0bb74ca882911026d61ab4652152111c7afd13e72959fef1c49b3368b8119a49,22,1,11,1,0,0
OneDriveClient_4,12.08,application/vnd.microsoft.portable-executable,f89c4e6e466a8ee58a1c8cf1aded27cfcdef02035dd56ee9357ec966607259de,32,0,35,0,0,0
SkypeInstaller_4,39.65,application/x-dosexec,54bd9221ecaebfa7f48780fd6bbe9e0383dcb6683ed3b01cf9dd82fa03193e48,19,1,30,1,1,0
PowerPointInstaller_4,15.34,exe,1eb9ed4a5eafa2bb0e5738440ef689f17144bd15a28c49ae7a6d9f1dc2a8068b,8,1,42,1,1,0
TeamsUpdate_4,48.72,application/x-executable,887737001d58db23a49252003fe60816ed01be0a0d8d783f556767e1a72f9c2a,9,1,1,0,0,0
AccessRepairTool_4,41.11,application/vnd.microsoft.portable-executable,46cfe950382ecf284f74d05ecb5dc4f4aeaf44cdb1cdf0df5cc43454b1e8a458,32,1,6,1,0,0
Office365Setup_4,4.27,exe,49c6edeb53c7d89b6252f51cd41d8942729835802113d4ac51435a970dd3f33a,8,0,6,0,1,0
WindowsBackup_4,31.28,application/x-executable,0aad282939dda5f3d6e52ca5e1a7961ca11de851b076191391a140a4491a13b5,6,0,39,0,0,0
AdobeInstaller_5,0.14,application/vnd.microsoft.portable-executable,1ac3a3a6a13bba6a26f34c399a8075bad249bddb85d59a21db4bc544d8846db7,39,0,30,0,0,0
WinUpdatePatch_5,35.35,application/vnd.microsoft.portable-executable,d5ff6d4a8677d5ae81982eac66b7d26b5df2a538a42004dda0a0f87071eae562,5,0,37,0,1,0
MicrosoftWord_5,27.23,exe,a9a821fa150be2832694b8b5df94f156d9a625f8e7aeacc42eaa7026aac71ee8,18,1,33,0,0,0
ExcelUpdater_5,29.76,application/x-executable,d938f4d5ac86cee8423e7479e976507957fc7ca2fb1cd74ffef2dd8e332c2893,29,0,9,0,1,0
VisualStudioSetup_5,1.3,exe,d2dd8a9d76a56fd40f36820e32db83c2ae925a56b386aca6fa45dc84f6d82952,37,1,5,1,1,0
EdgeUpdate_5,23.53,application/vnd.microsoft.portable-executable,935eebb9de68479fc2ea466f2270baca8dcd056f1c6715a42cca96ca01b52cab,18,0,2,1,0,0
DefenderScan_5,14.42,application/vnd.microsoft.portable-executable,bc7158681bd1999c94ab982324b770c738efcba677d4cebc82e1540c81d59c9b,36,1,20,1,1,0
OutlookSync_5,15.54,application/x-dosexec,536519d26bd618d51fe297ae00295534885c76dd69cb7afa25bbe8028a687535,36,0,15,0,0,0
OneDriveClient_5,47.35,exe,daa03143fe302b963549e3fce5cee454a9ca47a6b8fbe16448e7e7d7599c63d5,32,0,11,0,1,0
SkypeInstaller_5,43.2,application/x-executable,62dfff3a63fcff42b5bc2b37b86825648cb092919694190699969acbfb9c6c96,27,0,18,1,0,0
PowerPointInstaller_5,42.8,application/vnd.microsoft.portable-executable,746e2a90728f8e1c661e47d70e746851036c3ecc5bd6e886f18cbf43f7f9066b,3,1,24,0,0,0
TeamsUpdate_5,26.3,application/vnd.microsoft.portable-executable,3adb11f49aafe485102e390596d091fcc422dd95e26fc244b4e12d2ec11f8e70,1,1,42,0,0,0
AccessRepairTool_5,47.71,application/vnd.microsoft.portable-executable,d825a3f26b661dd87e497db40697a2056c39641f4ba63a13e8b2e9ca8f4c571d,35,1,50,0,1,0
Office365Setup_5,37.34,application/vnd.microsoft.portable-executable,4eabdc646d42cc5e8e72f9a1b3fb914eabc5b8326fa4f012c53d1a74cdd5f98d,7,1,8,0,0,0
WindowsBackup_5,45.17,application/x-dosexec,c002b67d6a675835a0592b7238ede13966799ead3d20192c5096398dd2691de2,21,0,12,1,1,0
AdobeInstaller_6,7.29,application/vnd.microsoft.portable-executable,1e5d8ad766ccbe09e7dee500610fde2dffc56a683de5283abcfd012f2152ab2d,37,1,37,1,1,0
WinUpdatePatch_6,30.99,exe,129078520fcfd1adbb3706de44e2d51a95742cc1617db2a2e53b4393ae65692b,32,0,21,0,1,0
MicrosoftWord_6,22.98,application/x-dosexec,df4b23c929299d5b58f49c9a93ceb0051fb90a5294573d11d6194d8ba7ab28d7,30,1,18,0,1,0
ExcelUpdater_6,48.9,application/vnd.microsoft.portable-executable,2bd458bd58ca0ca5baf183b4924478bc540af608e0a44af752dcfb693a99ef7c,18,1,45,1,0,0
VisualStudioSetup_6,30.36,application/x-executable,a9bd9ef76e78c157e9ba5f8dd8b22ebc7a8ee4af336de883dd3314372c7d465f,15,1,6,1,0,0
EdgeUpdate_6,45.17,application/x-dosexec,67e6a7a78a8f37a0b2ddd32a064972c632dd120ce5878f974ff3857ce1837350,20,0,24,1,0,0
DefenderScan_6,45.48,application/x-executable,2a76a91ac77307cf7622d6d45c9a1d903595b81e309d4f2ccfc3d9ff5a9ff710,27,0,4,1,0,0
OutlookSync_6,41.53,application/x-executable,fc9869f7c23086304d54db5cfbe0747e49ae1ae3c1bee2db8849b937b4e9081d,31,1,25,0,1,0
OneDriveClient_6,7.05,exe,0920dc3b76f57c053314d3759d513c27ff874fbe145bcfaba2bbca07957e3aba,26,1,43,0,0,0
SkypeInstaller_6,13.23,application/x-dosexec,adeff823979a8dbd7d1e579bfea335badc2a698b403bbf4be015fae2f5cc4909,30,1,46,0,0,0
PowerPointInstaller_6,33.75,application/vnd.microsoft.portable-executable,37146d7deab523f5da847a44c9f756c5f3fe18050e8269cec0cff4e1b9008240,2,1,33,1,0,0
TeamsUpdate_6,45.47,application/x-executable,ee22575fcaa5f785e5c86f8481df8e7281ff7b23c136a3415c8bf8cf337e9952,27,0,41,0,1,0
AccessRepairTool_6,49.8,application/x-dosexec,480596602ab489bf81afaf405644c192f75e5fbb437ff0c4ad7cc4d9430cf67e,7,0,17,0,1,0
Office365Setup_6,42.77,application/x-dosexec,84a674036a8403a6ba560d2f878ee66402370b0453dc6d1d47596f8d8a78e150,24,1,27,1,0,0
WindowsBackup_6,9.5,application/x-dosexec,7be6805c08e4b734c4e9fcb49bf9a0e8bbd7d57d1b3224647e73109c5ae91afa,30,1,45,0,1,0
AdobeInstaller_7,12.19,exe,727d5fd7b277078ab80432a0b12cc2431dc443366cab58fce9ba9f165b309b20,37,0,27,0,1,0
WinUpdatePatch_7,16.43,exe,bbb6a85db62e5dd7120eaf81447cec383e0ccb44571ad00301ce9786bf2c8ad1,39,0,8,0,0,0
MicrosoftWord_7,39.93,application/x-dosexec,5fa86721555f2ef6885c497f7a565157966f024520d5bc22d685c4c1136d475f,2,0,35,0,1,0
ExcelUpdater_7,0.8,application/x-executable,d9a863a3662960b3f7fcc56b6e274ebfd8b42d445c2a190e32cb9a917d6f4c66,4,0,1,1,1,0
VisualStudioSetup_7,36.36,application/x-executable,0c944646e784ac8f2982c64dc0e4dd07bc6eeb4ffc12d474e6e982bd0cfc8573,30,0,13,1,0,0
EdgeUpdate_7,21.32,application/x-dosexec,2bd2378eb8bd673ddecb78385556b4782a9ba65cfb5df9ff93aa40391c922360,32,1,3,0,1,0
DefenderScan_7,3.29,application/x-executable,dac5b2f1bad4619fbffe0ebed41cf8322445f73fe5dbe3045c0f499bed3327d0,40,1,9,0,0,0
OutlookSync_7,17.69,application/vnd.microsoft.portable-executable,2c29009216d6e8c0a7cc71a698fa826e345291ba2be43c1703480abfc6ce87e3,4,0,7,1,1,0
OneDriveClient_7,7.74,application/vnd.microsoft.portable-executable,d9a5c4afa7a20eed09f257934f96adb85f6258e0eafc77b266da2bae66850f09,15,0,39,1,0,0
SkypeInstaller_7,13.67,application/x-executable,d8d31a2c387b4c3045d86bcebee3bbf7744f5901dfa3dad75e1eef32d779465a,22,0,3,1,0,0
PowerPointInstaller_7,3.49,application/x-dosexec,6ea05be59c0d11fa58fd5c199a90147eaec6cb2052247978be25e05a4b95448c,6,0,0,0,1,0
TeamsUpdate_7,17.05,application/x-executable,fe490adc01102f8d28ff9f727fd9932b6a103b34ed2c9adfae7216f1a024eab2,20,1,27,1,1,0
AccessRepairTool_7,37.72,application/x-dosexec,09449bcf9d29d9d4f03ec7beaeaf50ddb0195aca9622f46ee27a0a382209003b,6,0,10,0,0,0
Office365Setup_7,0.39,application/x-executable,e13b6dec8a3dbe8687deceef2b6fdbe7e5eb8f1dc35720132c8ee00afb0a51fe,14,1,5,0,0,0
WindowsBackup_7,0.4,application/vnd.microsoft.portable-executable,bd3740c10a55220890b07b79682e91e0635351f8b7f945551fa3bdbe7dc458d6,12,1,32,1,0,0
AdobeInstaller_8,19.86,application/x-dosexec,4fb2eeef2de8f174beb02bd4a2046d08bdd174f2acb2f00bc2be585d06536ca2,28,1,48,0,0,0
WinUpdatePatch_8,40.07,application/vnd.microsoft.portable-executable,80002548f993c47df82ea9720efa087d2de6af11254ac167e6d7bf52b317693c,24,1,51,0,0,0
MicrosoftWord_8,3.83,application/x-dosexec,5b21631348fa6b2e8b8755a2681b0385dee84ada722c3331e7d03e6b1159b7df,34,1,43,0,0,0
ExcelUpdater_8,11.82,exe,3c1c56dc3daafa64b2183157343c1cc3d32e40a70f47a1455b15ce1f61e7a4a3,17,1,24,1,0,0
VisualStudioSetup_8,47.57,application/vnd.microsoft.portable-executable,53a3c0fee93d6f453d9759f71dd5ba9440434cd88d15544314b50bbab05dc1e4,30,0,22,0,0,0
EdgeUpdate_8,3.85,application/x-dosexec,524b05f9230bcb683fbe2be8364367ee791ad9e0f632728b1c0b168585fff86e,40,1,4,0,1,0
DefenderScan_8,49.55,exe,59c779346a07696dbf4701f80b40decf38f0cff2b8ac451012203fbbfd810767,24,0,22,0,1,0
OutlookSync_8,33.95,application/x-dosexec,b4bbb317cc2a017427ebe3b12eb7383e5f0701f188b35d96097fb6f5f1c2c645,22,1,36,1,1,0
OneDriveClient_8,12.61,exe,0b9adecd2e31811640a52d3d9814a69d8ca533ad5407f4f40daa803d4063d598,22,1,42,0,1,0
SkypeInstaller_8,6.46,application/x-dosexec,a3ba81a07edb0e157ed1df5e934c3ce98c0614e81f1a1ed7280f8d0c9fb7b5a5,20,1,18,1,1,0
PowerPointInstaller_8,47.56,application/x-executable,526ad1eace438b92dfa058fe354427c3af56be1ba144a96231ac2c5903c64f97,32,1,2,1,0,0
TeamsUpdate_8,14.8,application/x-dosexec,7140430f5140b45e15a4bab9d3dd30862dc64cd834ec4b5f6a311afa7978610c,33,0,28,0,0,0
AccessRepairTool_8,18.22,exe,208ba7e1dd3ea745b310fb5e1f934cb06d2e3fb9ed108ed4643b9f6c28f29b41,29,0,21,1,1,0
Office365Setup_8,15.48,application/vnd.microsoft.portable-executable,ebb0bcaa2437b98435c38af8743cec246e4b107c39fa086f633e319197009417,13,0,36,1,0,0
WindowsBackup_8,43.71,application/x-dosexec,326ac3959a74b4e8d57b771ab1313ede19f566f407366ceea45765908cc78d60,34,0,17,1,1,0
AdobeInstaller_9,22.47,exe,6db6a0bed048a58575dbf9f2a5963c324b7dfeaa9e87c5a73eb0b52f4f86f2fb,28,0,36,0,1,0
WinUpdatePatch_9,20.75,application/vnd.microsoft.portable-executable,97aee5d23bc333b1ebbcb2169c4197d9a8bceb3e675327a8f58b00460ba82022,33,1,28,1,0,0
MicrosoftWord_9,21.47,application/x-executable,a61e9e6c3b40ee2e9e1f0df72c65a00ef5225e94d1c162affdcd970e49749b95,16,0,2,0,1,0
ExcelUpdater_9,37.37,application/x-executable,c4d54e63a9d035bb924e706e5b79b39d08f7658b4598dc8f76265789e8d5a81f,5,1,5,1,1,0
VisualStudioSetup_9,2.23,application/x-executable,e1f038ca68c33d6f2c0bc9504900dcf0fadba5a375d484e8a372ebb5d61d2f20,12,1,30,0,0,0
EdgeUpdate_9,15.79,application/x-executable,4d885de6e3c9e7deb5ec013c2446fa73dde412797df154212fc1e6c7e6b55041,33,0,25,0,0,0
DefenderScan_9,39.97,application/vnd.microsoft.portable-executable,11d3a7dd7a6bd054b1e02e7ebe651ab8e94b73a12b3d41decd7ed9ed594d0309,26,1,6,1,0,0
OutlookSync_9,30.13,exe,9f260ec8e41ba85d338581013d06dcb4c41b14502077bf65656a076e8cb24cdf,35,0,10,1,1,0
OneDriveClient_9,18.17,exe,cc31c7adba9d61268c485b85a5469e3a1df1ebc4fd2644b89b7966e6ac986bf9,2,0,35,0,1,0
SkypeInstaller_9,18.61,application/x-dosexec,855a94ac2b3036a760feefb85c7656169d9a2036cc7e256884dcb52e5bcdbfc8,37,1,4,0,1,0
PowerPointInstaller_9,13.1,application/x-executable,90fea2c3c6d2d70516953db3222423e4ea7a0f82a29c450be68116802c528bae,29,1,23,1,0,0
TeamsUpdate_9,6.8,application/x-dosexec,7164af80237c6c9fd00c5e84d86f72a4dd819f2f0eefdd0e6260bce5ef79cdb7,29,0,36,1,0,0
AccessRepairTool_9,49.26,exe,ca16f7415936dbf496f4e4a4e9dc6dfbecd17dc3688a2071f3960a66d1d9e736,16,0,22,1,0,0
Office365Setup_9,40.19,exe,b8de5c605a3c14be0cf7ddd3e365f22f1544e355b99ecb429cc07a048904e6ec,40,1,3,1,1,0
WindowsBackup_9,26.29,application/vnd.microsoft.portable-executable,3fbf4a32f30e8f1466c198cdf53d68e553ad315c49f909ba5b0e88db8d6b5f86,37,1,8,1,1,0
AdobeInstaller_10,23.3,application/x-executable,596248a3b91f2054edeaa56219a76da0fb750d3e44bc7c88aad0cc0d8a3c4817,9,0,16,1,1,0
WinUpdatePatch_10,41.57,exe,0c8331cdaeab8d9347df006cbf42fb2118f42e519f3cc0e592d3fb2226ca1022,20,1,23,0,0,0
MicrosoftWord_10,47.37,application/x-executable,bae42162cdbf8a6322780e78ef07b8c8d66ad6ec911f937a4274fc8442236521,6,0,20,1,1,0
ExcelUpdater_10,30.73,application/x-dosexec,b68d49f417d19215f0a520d0fce3d6fd11d027436711e597e577553f6c537a54,33,0,25,1,1,0
VisualStudioSetup_10,42.13,application/x-dosexec,09c29067f93929839dc6ed9787793cc54d10dd1395c939d806018259589ea4b4,2,0,21,0,1,0
EdgeUpdate_10,30.91,application/x-dosexec,7e4d24a99db7f60256a6f056a77e36b7c3e199e23cce2bec13074927785536ff,32,0,5,1,1,0
DefenderScan_10,20.79,application/vnd.microsoft.portable-executable,da3ec36b39ae13a4ffc5feb2d570030b7b7218b15b75c476b4acb2c610423542,14,0,9,0,1,0
OutlookSync_10,48.77,exe,3d6451544480e25d2adfec164cf9ba0784b1d76868e42c3423b63ffb3612c227,24,1,18,1,1,0
OneDriveClient_10,6.13,application/vnd.microsoft.portable-executable,eb2ad58a8ee4a605869f6fc8105ae2d512f071226646e01782c51120724f1e70,16,0,13,1,1,0
SkypeInstaller_10,43.21,application/vnd.microsoft.portable-executable,0673958bbbeb309df5439f486bf85a2cf20efa1bc74012a45305cf4d168a059f,16,1,12,0,1,0
PowerPointInstaller_10,24.92,application/vnd.microsoft.portable-executable,a2069ebdfd9e508c35b042fcc3b3128f02334981bc9b23ca56685925e0b5828f,32,0,41,1,0,0
TeamsUpdate_10,44.12,application/x-executable,303b9d96188e0850bf76844c1dba396da69f523e1a3c4fb01481d4da69f506e0,26,1,1,0,0,0
AccessRepairTool_10,18.13,application/x-executable,87150b88bf63367ded9f265b9b77c2c83f952f0d24dce658f814459241228322,5,0,5,1,0,0
Office365Setup_10,30.13,application/vnd.microsoft.portable-executable,0f13f7cd5a1eeccee0164691280ad544b28336764fc776fe2b36e699764b9420,33,0,43,1,0,0
WindowsBackup_10,40.2,application/vnd.microsoft.portable-executable,2cbb36e32021d46823e10d8a6285c0bf528b0e7c5c954ff6469eb014b9ffcb72,10,0,5,0,1,0
AdobeInstaller_11,15.69,exe,e1eb2dc3d899dbece37205615b71fc15b526c9c412d9f7db6b12be2567a30663,27,0,14,0,1,0
WinUpdatePatch_11,13.96,application/x-executable,4acb0e5772af55e6089430e250630d3df46930f85a4b3a81eb87df0e8bc7cfca,15,0,33,1,0,0
MicrosoftWord_11,24,application/x-executable,63a2b4971398f013a9e450401ef236a2e6418fd747b98f1a4657e3479fde81c0,19,1,36,0,1,0
ExcelUpdater_11,32.8,application/vnd.microsoft.portable-executable,ccbd5f2e6b2e3b2bf5e68da4ccd8da7be88b92f9b7fc11c434cd682eaf399ca6,14,1,36,0,1,0
VisualStudioSetup_11,32.65,application/vnd.microsoft.portable-executable,ddf15a899a4d3ee2ee8cc9378fd0d7e527926be0bf2ec17a9e37c9d64067a6c4,31,0,17,0,1,0
EdgeUpdate_11,32.3,application/x-dosexec,dd06cc99bb1b425a0a209d2e76b1eb4a8e9b2e04a81414298aaa7218859ce6da,37,1,25,1,1,0
DefenderScan_11,4.35,application/x-dosexec,73fbf77c79e5a68a463b9153ce2854e75b78ade9c40267409e0de88d79855036,12,1,22,1,1,0
OutlookSync_11,32.69,exe,265e681d4bd2e18f1c57d240f2fc05c884343deaadb73599a0b5e859f88381cc,4,0,42,1,1,0
OneDriveClient_11,5.82,exe,9564e9da165112f1bf9e3e03e1bb2ef40a1eabf4352fbcabc4775184024d265a,38,1,19,0,1,0
SkypeInstaller_11,6.61,application/vnd.microsoft.portable-executable,57acbc944b1fe77eb5d9e47882a0c9c523896ecb8de8b0bfd3e44c6669fb5071,30,0,11,1,1,0
PowerPointInstaller_11,19.8,application/x-dosexec,b7c09728d12eed96a4f82fafebf2cfd1ef381c42e9ed07004701714d57a08e3d,14,1,7,1,0,0
TeamsUpdate_11,35.02,application/x-dosexec,e30b33dcb2ae6031781be6fbd208283a4f7d8ba08447d7f27dca4f84c0168774,5,1,9,0,1,0
AccessRepairTool_11,38.45,application/vnd.microsoft.portable-executable,793386c7de047815ac669ddd9db98f86f95acade5dbea329bfaa407e69ee82db,24,1,4,1,0,0
Office365Setup_11,41.74,application/x-dosexec,11e055f461194ae4acb147b09150d1078a1e90e4f1933947920bbe8830115423,20,0,22,1,0,0
WindowsBackup_11,30.75,application/x-dosexec,e554fb3afbeced479f6ea5ef1997e5a1cf6a34d3b98694474b0f5932d1121fbf,16,0,24,0,1,0
AdobeInstaller_12,29.89,application/x-dosexec,53297885972c3aca43979c4c535f8cab1b506b6ee69a673f787fd9bcff78c0ab,16,0,8,0,1,0
WinUpdatePatch_12,11.85,exe,bf410766c9a11471d1ae7baefda4d75458f7e26228aff4a308e527e369a379a9,34,1,37,0,1,0
MicrosoftWord_12,37.72,application/vnd.microsoft.portable-executable,e7a505b040f4bfb9a428a7dcf2b451d6254681faa03552c925b444938a462721,16,1,19,1,0,0
ExcelUpdater_12,28.12,application/vnd.microsoft.portable-executable,1d1f722a64a11b7e39032b2782de426a4b45871a7ee2f8a2fb959265fa6d1b00,36,1,38,0,0,0
VisualStudioSetup_12,10.17,application/x-dosexec,26760981e6d27bcdf7aa30cb655e55b1c020d95e091b510a4cbdcde06c7a7415,29,0,17,1,1,0
EdgeUpdate_12,18.86,application/x-dosexec,6a40949ee570f491d84e1599f8abe6fe444ebc624ddc950f2aee69723e1f0fd6,5,0,11,0,1,0
DefenderScan_12,15.17,application/x-dosexec,c5774768aba588ca5fb40db48417495b2fb6e4301ebe81f0042fc6c3da2bcad3,14,0,27,1,1,0
OutlookSync_12,19.84,exe,a05b06c2fc3ee1881d7d028fb39ba009c4fbf83d6ec6e02c91e4287b84b0ef8e,36,0,15,1,0,0
OneDriveClient_12,15.43,application/x-executable,f027404de1aaedea3e5607aae4f1de7b71ca9458a39a4de330c97ae33e09d659,33,1,36,1,1,0
